"Date","Time","DateTime","LWP","Plant_ID"
"27/10/2024","14:30:00",2024-10-27 14:30:00,-0.98,1
"27/10/2024","14:45:00",2024-10-27 14:45:00,-1.07,1
"27/10/2024","15:00:00",2024-10-27 15:00:00,-1.03,1
"27/10/2024","15:15:00",2024-10-27 15:15:00,-0.95,1
"27/10/2024","15:30:00",2024-10-27 15:30:00,-1.04,1
"27/10/2024","15:45:01",2024-10-27 15:45:01,-0.96,1
"27/10/2024","16:00:00",2024-10-27 16:00:00,-0.88,1
"27/10/2024","16:15:00",2024-10-27 16:15:00,-0.86,1
"27/10/2024","16:30:00",2024-10-27 16:30:00,-0.81,1
"27/10/2024","16:45:00",2024-10-27 16:45:00,-0.77,1
"27/10/2024","17:00:00",2024-10-27 17:00:00,-0.73,1
"27/10/2024","17:15:00",2024-10-27 17:15:00,-0.69,1
"27/10/2024","17:30:00",2024-10-27 17:30:00,-0.63,1
"27/10/2024","17:45:00",2024-10-27 17:45:00,-0.67,1
"27/10/2024","18:00:00",2024-10-27 18:00:00,-0.72,1
"27/10/2024","18:15:00",2024-10-27 18:15:00,-0.68,1
"27/10/2024","18:30:00",2024-10-27 18:30:00,-0.63,1
"27/10/2024","18:45:00",2024-10-27 18:45:00,-0.58,1
"27/10/2024","19:00:00",2024-10-27 19:00:00,-0.65,1
"27/10/2024","19:15:00",2024-10-27 19:15:00,-0.59,1
"27/10/2024","19:30:00",2024-10-27 19:30:00,-0.52,1
"27/10/2024","19:45:00",2024-10-27 19:45:00,-0.53,1
"27/10/2024","20:00:00",2024-10-27 20:00:00,-0.63,1
"27/10/2024","20:15:00",2024-10-27 20:15:00,-0.5,1
"27/10/2024","20:30:00",2024-10-27 20:30:00,-0.51,1
"27/10/2024","20:45:00",2024-10-27 20:45:00,-0.54,1
"27/10/2024","21:00:00",2024-10-27 21:00:00,-0.57,1
"27/10/2024","21:15:00",2024-10-27 21:15:00,-0.57,1
"27/10/2024","21:30:00",2024-10-27 21:30:00,-0.51,1
"27/10/2024","21:45:00",2024-10-27 21:45:00,-0.51,1
"27/10/2024","22:00:00",2024-10-27 22:00:00,-0.5,1
"27/10/2024","22:15:00",2024-10-27 22:15:00,-0.54,1
"27/10/2024","22:30:00",2024-10-27 22:30:00,-0.49,1
"27/10/2024","22:45:00",2024-10-27 22:45:00,-0.47,1
"27/10/2024","23:00:00",2024-10-27 23:00:00,-0.54,1
"27/10/2024","23:15:00",2024-10-27 23:15:00,-0.54,1
"27/10/2024","23:30:00",2024-10-27 23:30:00,-0.54,1
"27/10/2024","23:45:00",2024-10-27 23:45:00,-0.59,1
"28/10/2024","00:00:00",2024-10-28,-0.42,1
"28/10/2024","00:15:00",2024-10-28 00:15:00,-0.29,1
"28/10/2024","00:30:00",2024-10-28 00:30:00,-0.22,1
"28/10/2024","00:45:00",2024-10-28 00:45:00,-0.19,1
"28/10/2024","01:00:00",2024-10-28 01:00:00,-0.14,1
"28/10/2024","01:15:00",2024-10-28 01:15:00,-0.11,1
"28/10/2024","01:30:00",2024-10-28 01:30:00,-0.1,1
"28/10/2024","01:45:00",2024-10-28 01:45:00,-0.11,1
"28/10/2024","02:00:00",2024-10-28 02:00:00,-0.08,1
"28/10/2024","02:15:00",2024-10-28 02:15:00,-0.07,1
"28/10/2024","02:30:00",2024-10-28 02:30:00,-0.05,1
"28/10/2024","02:45:00",2024-10-28 02:45:00,-0.05,1
"28/10/2024","03:00:00",2024-10-28 03:00:00,-0.04,1
"28/10/2024","03:15:00",2024-10-28 03:15:00,-0.01,1
"28/10/2024","03:30:00",2024-10-28 03:30:00,0,1
"28/10/2024","03:45:00",2024-10-28 03:45:00,0,1
"28/10/2024","04:00:00",2024-10-28 04:00:00,0,1
"28/10/2024","04:15:00",2024-10-28 04:15:00,0,1
"28/10/2024","04:30:00",2024-10-28 04:30:00,0,1
"28/10/2024","04:45:00",2024-10-28 04:45:00,0,1
"28/10/2024","05:00:00",2024-10-28 05:00:00,0,1
"28/10/2024","05:15:00",2024-10-28 05:15:00,0,1
"28/10/2024","05:30:00",2024-10-28 05:30:00,0,1
"28/10/2024","05:45:00",2024-10-28 05:45:00,0,1
"28/10/2024","06:00:00",2024-10-28 06:00:00,0,1
"28/10/2024","06:15:00",2024-10-28 06:15:00,0,1
"28/10/2024","06:30:00",2024-10-28 06:30:00,0,1
"28/10/2024","06:45:00",2024-10-28 06:45:00,0,1
"28/10/2024","07:00:00",2024-10-28 07:00:00,0,1
"28/10/2024","07:15:00",2024-10-28 07:15:00,0,1
"28/10/2024","07:30:00",2024-10-28 07:30:00,0,1
"28/10/2024","07:45:00",2024-10-28 07:45:00,0,1
"28/10/2024","08:00:00",2024-10-28 08:00:00,-0.05,1
"28/10/2024","08:15:00",2024-10-28 08:15:00,-0.14,1
"28/10/2024","08:30:00",2024-10-28 08:30:00,-0.17,1
"28/10/2024","08:45:00",2024-10-28 08:45:00,-0.3,1
"28/10/2024","09:00:00",2024-10-28 09:00:00,-0.39,1
"28/10/2024","09:15:00",2024-10-28 09:15:00,-0.52,1
"28/10/2024","09:30:00",2024-10-28 09:30:00,-0.31,1
"28/10/2024","09:45:00",2024-10-28 09:45:00,-0.38,1
"28/10/2024","10:00:00",2024-10-28 10:00:00,-0.37,1
"28/10/2024","10:15:00",2024-10-28 10:15:00,-0.47,1
"28/10/2024","10:30:00",2024-10-28 10:30:00,-0.42,1
"28/10/2024","10:45:00",2024-10-28 10:45:00,-0.46,1
"28/10/2024","11:00:00",2024-10-28 11:00:00,-0.58,1
"28/10/2024","11:15:00",2024-10-28 11:15:00,-0.52,1
"28/10/2024","11:30:00",2024-10-28 11:30:00,-0.66,1
"28/10/2024","11:45:00",2024-10-28 11:45:00,-0.63,1
"28/10/2024","12:00:00",2024-10-28 12:00:00,-0.6,1
"28/10/2024","12:15:00",2024-10-28 12:15:00,-0.66,1
"28/10/2024","12:30:00",2024-10-28 12:30:00,-0.7,1
"28/10/2024","12:45:00",2024-10-28 12:45:00,-0.68,1
"28/10/2024","13:00:00",2024-10-28 13:00:00,-0.75,1
"28/10/2024","13:15:00",2024-10-28 13:15:00,-0.84,1
"28/10/2024","13:30:00",2024-10-28 13:30:00,-0.68,1
"28/10/2024","13:45:00",2024-10-28 13:45:00,-0.68,1
"28/10/2024","14:00:00",2024-10-28 14:00:00,-0.65,1
"28/10/2024","14:15:00",2024-10-28 14:15:00,-0.65,1
"28/10/2024","14:30:00",2024-10-28 14:30:00,-0.68,1
"28/10/2024","14:45:00",2024-10-28 14:45:00,-0.86,1
"28/10/2024","15:00:00",2024-10-28 15:00:00,-0.77,1
"28/10/2024","15:15:00",2024-10-28 15:15:00,-0.66,1
"28/10/2024","15:30:00",2024-10-28 15:30:00,-0.7,1
"28/10/2024","15:45:00",2024-10-28 15:45:00,-0.71,1
"28/10/2024","16:00:00",2024-10-28 16:00:00,-0.68,1
"28/10/2024","16:15:00",2024-10-28 16:15:00,-0.6,1
"28/10/2024","16:30:00",2024-10-28 16:30:00,-0.75,1
"28/10/2024","16:45:00",2024-10-28 16:45:00,-0.75,1
"28/10/2024","17:00:00",2024-10-28 17:00:00,-0.74,1
"28/10/2024","17:15:00",2024-10-28 17:15:00,-0.63,1
"28/10/2024","17:30:00",2024-10-28 17:30:00,-0.66,1
"28/10/2024","17:45:00",2024-10-28 17:45:00,-0.87,1
"28/10/2024","18:00:00",2024-10-28 18:00:00,-0.68,1
"28/10/2024","18:15:00",2024-10-28 18:15:00,-0.68,1
"28/10/2024","18:30:00",2024-10-28 18:30:00,-0.72,1
"28/10/2024","18:45:00",2024-10-28 18:45:00,-0.73,1
"28/10/2024","19:00:00",2024-10-28 19:00:00,-0.76,1
"28/10/2024","19:15:00",2024-10-28 19:15:00,-0.77,1
"28/10/2024","19:30:00",2024-10-28 19:30:00,-0.87,1
"28/10/2024","19:45:00",2024-10-28 19:45:00,-0.75,1
"28/10/2024","20:00:00",2024-10-28 20:00:00,-0.74,1
"28/10/2024","20:15:00",2024-10-28 20:15:00,-1.03,1
"28/10/2024","20:30:00",2024-10-28 20:30:00,-0.84,1
"28/10/2024","20:45:00",2024-10-28 20:45:00,-0.83,1
"28/10/2024","21:00:00",2024-10-28 21:00:00,-0.76,1
"28/10/2024","21:15:00",2024-10-28 21:15:00,-0.94,1
"28/10/2024","21:30:00",2024-10-28 21:30:00,-0.9,1
"28/10/2024","21:45:00",2024-10-28 21:45:00,-0.84,1
"28/10/2024","22:00:00",2024-10-28 22:00:00,-0.86,1
"28/10/2024","22:15:00",2024-10-28 22:15:00,-0.84,1
"28/10/2024","22:30:00",2024-10-28 22:30:00,-0.9,1
"28/10/2024","22:45:00",2024-10-28 22:45:00,-0.87,1
"28/10/2024","23:00:00",2024-10-28 23:00:00,-0.96,1
"28/10/2024","23:15:00",2024-10-28 23:15:00,-0.84,1
"28/10/2024","23:30:00",2024-10-28 23:30:00,-0.85,1
"28/10/2024","23:45:00",2024-10-28 23:45:00,-0.9,1
"29/10/2024","00:00:00",2024-10-29,-0.83,1
"29/10/2024","00:15:00",2024-10-29 00:15:00,-0.64,1
"29/10/2024","00:30:00",2024-10-29 00:30:00,-0.51,1
"29/10/2024","00:45:00",2024-10-29 00:45:00,-0.45,1
"29/10/2024","01:00:00",2024-10-29 01:00:00,-0.44,1
"29/10/2024","01:15:00",2024-10-29 01:15:00,-0.31,1
"29/10/2024","01:30:00",2024-10-29 01:30:00,-0.3,1
"29/10/2024","01:45:00",2024-10-29 01:45:00,-0.28,1
"29/10/2024","02:00:00",2024-10-29 02:00:00,-0.27,1
"29/10/2024","02:15:00",2024-10-29 02:15:00,-0.27,1
"29/10/2024","02:30:00",2024-10-29 02:30:00,-0.26,1
"29/10/2024","02:45:00",2024-10-29 02:45:00,-0.22,1
"29/10/2024","03:00:00",2024-10-29 03:00:00,-0.23,1
"29/10/2024","03:15:00",2024-10-29 03:15:00,-0.21,1
"29/10/2024","03:30:00",2024-10-29 03:30:00,-0.24,1
"29/10/2024","03:45:00",2024-10-29 03:45:00,-0.16,1
"29/10/2024","04:00:00",2024-10-29 04:00:00,-0.17,1
"29/10/2024","04:15:00",2024-10-29 04:15:00,-0.15,1
"29/10/2024","04:30:00",2024-10-29 04:30:00,-0.18,1
"29/10/2024","04:45:00",2024-10-29 04:45:00,-0.16,1
"29/10/2024","05:00:00",2024-10-29 05:00:00,-0.16,1
"29/10/2024","05:15:00",2024-10-29 05:15:00,-0.14,1
"29/10/2024","05:30:00",2024-10-29 05:30:00,-0.16,1
"29/10/2024","05:45:00",2024-10-29 05:45:00,-0.16,1
"29/10/2024","06:00:00",2024-10-29 06:00:00,-0.14,1
"29/10/2024","06:15:00",2024-10-29 06:15:00,-0.14,1
"29/10/2024","06:30:00",2024-10-29 06:30:00,-0.12,1
"29/10/2024","06:45:00",2024-10-29 06:45:00,-0.12,1
"29/10/2024","07:00:00",2024-10-29 07:00:00,-0.11,1
