"Date","Time","Weight","DateTime","Plant_ID"
2024-10-28,"19:47:58",1179.3,2024-10-28 19:47:58,4
2024-10-28,"20:02:58",1177.3,2024-10-28 20:02:58,4
2024-10-28,"20:17:58",1176.3,2024-10-28 20:17:58,4
2024-10-28,"20:32:58",1175.2,2024-10-28 20:32:58,4
2024-10-28,"20:47:58",1174.2,2024-10-28 20:47:58,4
2024-10-28,"21:02:58",1172.2,2024-10-28 21:02:58,4
2024-10-28,"21:17:58",1171.2,2024-10-28 21:17:58,4
2024-10-28,"21:32:58",1170.2,2024-10-28 21:32:58,4
2024-10-28,"21:47:58",1169.2,2024-10-28 21:47:58,4
2024-10-28,"22:02:58",1167.2,2024-10-28 22:02:58,4
2024-10-28,"22:17:58",1166.2,2024-10-28 22:17:58,4
2024-10-28,"22:32:58",1165.1,2024-10-28 22:32:58,4
2024-10-28,"22:47:58",1164.1,2024-10-28 22:47:58,4
2024-10-28,"23:02:58",1164.1,2024-10-28 23:02:58,4
2024-10-28,"23:17:58",1164.1,2024-10-28 23:17:58,4
2024-10-28,"23:32:58",1164.1,2024-10-28 23:32:58,4
2024-10-28,"23:47:58",1164.1,2024-10-28 23:47:58,4
2024-10-29,"00:02:58",1164.1,2024-10-29 00:02:58,4
2024-10-29,"00:17:58",1164.1,2024-10-29 00:17:58,4
2024-10-29,"00:32:58",1163.1,2024-10-29 00:32:58,4
2024-10-29,"00:47:58",1163.1,2024-10-29 00:47:58,4
2024-10-29,"01:02:58",1163.1,2024-10-29 01:02:58,4
2024-10-29,"01:17:58",1163.1,2024-10-29 01:17:58,4
2024-10-29,"01:32:58",1162.1,2024-10-29 01:32:58,4
2024-10-29,"01:47:58",1162.1,2024-10-29 01:47:58,4
2024-10-29,"02:02:58",1162.1,2024-10-29 02:02:58,4
2024-10-29,"02:17:58",1162.1,2024-10-29 02:17:58,4
2024-10-29,"02:32:58",1162.1,2024-10-29 02:32:58,4
2024-10-29,"02:47:58",1161.1,2024-10-29 02:47:58,4
2024-10-29,"03:02:58",1161.1,2024-10-29 03:02:58,4
2024-10-29,"03:17:58",1161.1,2024-10-29 03:17:58,4
2024-10-29,"03:32:58",1161.1,2024-10-29 03:32:58,4
2024-10-29,"03:47:58",1161.1,2024-10-29 03:47:58,4
2024-10-29,"04:02:58",1161.1,2024-10-29 04:02:58,4
2024-10-29,"04:17:58",1160.1,2024-10-29 04:17:58,4
2024-10-29,"04:32:58",1160.1,2024-10-29 04:32:58,4
2024-10-29,"04:47:58",1160.1,2024-10-29 04:47:58,4
2024-10-29,"05:02:58",1160.1,2024-10-29 05:02:58,4
2024-10-29,"05:17:58",1160.1,2024-10-29 05:17:58,4
2024-10-29,"05:32:58",1159.1,2024-10-29 05:32:58,4
2024-10-29,"05:47:58",1159.1,2024-10-29 05:47:58,4
2024-10-29,"06:02:58",1159.1,2024-10-29 06:02:58,4
2024-10-29,"06:17:58",1159.1,2024-10-29 06:17:58,4
2024-10-29,"06:32:58",1158.1,2024-10-29 06:32:58,4
2024-10-29,"06:47:58",1158.1,2024-10-29 06:47:58,4
2024-10-29,"07:02:58",1157.1,2024-10-29 07:02:58,4
2024-10-29,"07:17:58",1156.1,2024-10-29 07:17:58,4
2024-10-29,"07:32:58",1155.1,2024-10-29 07:32:58,4
2024-10-29,"07:47:58",1154,2024-10-29 07:47:58,4
2024-10-29,"08:02:58",1152,2024-10-29 08:02:58,4
2024-10-29,"08:17:58",1151,2024-10-29 08:17:58,4
2024-10-29,"08:32:58",1150,2024-10-29 08:32:58,4
2024-10-29,"08:47:58",1149,2024-10-29 08:47:58,4
2024-10-29,"09:02:58",1147,2024-10-29 09:02:58,4
2024-10-29,"09:17:58",1145,2024-10-29 09:17:58,4
2024-10-29,"09:32:58",1143.9,2024-10-29 09:32:58,4
2024-10-29,"09:47:58",1141.9,2024-10-29 09:47:58,4
2024-10-29,"10:02:58",1140.9,2024-10-29 10:02:58,4
2024-10-29,"10:17:58",1138.9,2024-10-29 10:17:58,4
2024-10-29,"10:32:58",1136.9,2024-10-29 10:32:58,4
2024-10-29,"10:47:58",1134.9,2024-10-29 10:47:58,4
2024-10-29,"11:02:58",1133.8,2024-10-29 11:02:58,4
2024-10-29,"11:17:58",1131.8,2024-10-29 11:17:58,4
2024-10-29,"11:32:58",1129.8,2024-10-29 11:32:58,4
2024-10-29,"11:47:58",1126.8,2024-10-29 11:47:58,4
2024-10-29,"12:02:58",1124.8,2024-10-29 12:02:58,4
2024-10-29,"12:17:58",1122.7,2024-10-29 12:17:58,4
2024-10-29,"12:32:58",1119.7,2024-10-29 12:32:58,4
2024-10-29,"12:47:58",1116.7,2024-10-29 12:47:58,4
2024-10-29,"13:02:58",1113.6,2024-10-29 13:02:58,4
2024-10-29,"13:17:58",1111.6,2024-10-29 13:17:58,4
2024-10-29,"13:32:58",1109.6,2024-10-29 13:32:58,4
2024-10-29,"13:47:58",1107.6,2024-10-29 13:47:58,4
2024-10-29,"14:02:58",1104.6,2024-10-29 14:02:58,4
2024-10-29,"14:17:58",1102.5,2024-10-29 14:17:58,4
2024-10-29,"14:32:58",1101.5,2024-10-29 14:32:58,4
2024-10-29,"14:47:58",1099.5,2024-10-29 14:47:58,4
2024-10-29,"15:02:58",1097.5,2024-10-29 15:02:58,4
2024-10-29,"15:17:58",1205.1,2024-10-29 15:17:58,4
2024-10-29,"15:32:58",1203,2024-10-29 15:32:58,4
2024-10-29,"15:47:58",1201,2024-10-29 15:47:58,4
2024-10-29,"16:02:58",1200,2024-10-29 16:02:58,4
2024-10-29,"16:17:58",1198,2024-10-29 16:17:58,4
2024-10-29,"16:32:58",1196,2024-10-29 16:32:58,4
2024-10-29,"16:47:58",1195,2024-10-29 16:47:58,4
2024-10-29,"17:02:58",1192.9,2024-10-29 17:02:58,4
2024-10-29,"17:17:58",1191.9,2024-10-29 17:17:58,4
2024-10-29,"17:32:58",1189.9,2024-10-29 17:32:58,4
2024-10-29,"17:47:58",1187.9,2024-10-29 17:47:58,4
2024-10-29,"18:02:58",1189,2024-10-29 18:02:58,4
2024-10-29,"18:17:58",1186,2024-10-29 18:17:58,4
2024-10-29,"18:32:58",1184,2024-10-29 18:32:58,4
2024-10-29,"18:47:58",1183,2024-10-29 18:47:58,4
2024-10-29,"19:02:58",1180.9,2024-10-29 19:02:58,4
2024-10-29,"19:17:58",1179.9,2024-10-29 19:17:58,4
2024-10-29,"19:32:58",1177.9,2024-10-29 19:32:58,4
2024-10-29,"19:47:58",1175.9,2024-10-29 19:47:58,4
2024-10-29,"20:02:58",1174.9,2024-10-29 20:02:58,4
2024-10-29,"20:17:58",1172.9,2024-10-29 20:17:58,4
2024-10-29,"20:32:58",1171.9,2024-10-29 20:32:58,4
2024-10-29,"20:47:58",1169.8,2024-10-29 20:47:58,4
2024-10-29,"21:02:58",1168.8,2024-10-29 21:02:58,4
2024-10-29,"21:17:58",1166.8,2024-10-29 21:17:58,4
2024-10-29,"21:32:58",1165.8,2024-10-29 21:32:58,4
2024-10-29,"21:47:58",1164.8,2024-10-29 21:47:58,4
2024-10-29,"22:02:58",1162.8,2024-10-29 22:02:58,4
2024-10-29,"22:17:58",1161.8,2024-10-29 22:17:58,4
2024-10-29,"22:32:58",1160.7,2024-10-29 22:32:58,4
2024-10-29,"22:47:58",1158.7,2024-10-29 22:47:58,4
2024-10-29,"23:02:58",1158.7,2024-10-29 23:02:58,4
2024-10-29,"23:17:58",1158.7,2024-10-29 23:17:58,4
2024-10-29,"23:32:58",1158.7,2024-10-29 23:32:58,4
2024-10-29,"23:47:58",1158.7,2024-10-29 23:47:58,4
