No.,Date,Time,Header,Data,Unit
184,27/10/2024,02:35:03,ST,890.6,g
185,27/10/2024,02:50:03,ST,890.6,g
186,27/10/2024,03:05:03,ST,890.6,g
187,27/10/2024,03:20:03,ST,890.6,g
188,27/10/2024,03:35:03,ST,890.6,g
189,27/10/2024,03:50:03,ST,890.6,g
190,27/10/2024,04:05:03,ST,890.6,g
191,27/10/2024,04:20:03,ST,890.6,g
192,27/10/2024,04:35:03,ST,890.6,g
193,27/10/2024,04:50:03,ST,890.6,g
194,27/10/2024,05:05:03,ST,890.6,g
195,27/10/2024,05:20:03,ST,890.6,g
196,27/10/2024,05:35:03,ST,889.6,g
197,27/10/2024,05:50:03,ST,889.6,g
198,27/10/2024,06:05:03,ST,889.6,g
199,27/10/2024,06:20:03,ST,889.6,g
200,27/10/2024,06:35:03,ST,889.6,g
201,27/10/2024,06:50:03,ST,889.6,g
202,27/10/2024,07:05:03,ST,888.6,g
203,27/10/2024,07:20:03,ST,887.6,g
204,27/10/2024,07:35:03,ST,886.6,g
205,27/10/2024,07:50:03,ST,886.6,g
206,27/10/2024,08:05:03,ST,885.5,g
207,27/10/2024,08:20:03,ST,885.5,g
208,27/10/2024,08:35:03,ST,884.5,g
209,27/10/2024,08:50:03,ST,884.5,g
210,27/10/2024,09:05:03,ST,883.5,g
211,27/10/2024,09:20:03,ST,883.5,g
212,27/10/2024,09:35:03,ST,882.5,g
213,27/10/2024,09:50:03,ST,882.5,g
214,27/10/2024,10:05:03,ST,881.5,g
215,27/10/2024,10:20:03,ST,881.5,g
216,27/10/2024,10:35:03,ST,880.5,g
217,27/10/2024,10:50:03,ST,880.5,g
218,27/10/2024,11:05:03,ST,879.5,g
219,27/10/2024,11:20:03,ST,879.5,g
220,27/10/2024,11:35:03,ST,878.5,g
221,27/10/2024,11:50:03,ST,878.5,g
222,27/10/2024,12:05:03,ST,877.4,g
223,27/10/2024,12:20:03,ST,877.4,g
224,27/10/2024,12:35:03,ST,876.4,g
225,27/10/2024,12:50:03,ST,876.4,g
226,27/10/2024,13:05:03,ST,875.4,g
227,27/10/2024,13:20:03,ST,875.4,g
228,27/10/2024,13:35:03,ST,874.4,g
229,27/10/2024,13:50:03,ST,874.4,g
230,27/10/2024,14:05:03,ST,873.4,g
231,27/10/2024,14:20:03,ST,873.4,g
232,27/10/2024,14:35:03,ST,869.5,g
233,27/10/2024,14:50:03,ST,1004.4,g
234,27/10/2024,15:05:03,ST,1004.4,g
235,27/10/2024,15:20:03,ST,1003.4,g
236,27/10/2024,15:35:03,ST,1002.4,g
237,27/10/2024,15:50:03,ST,1002.4,g
238,27/10/2024,16:05:03,ST,1001.3,g
239,27/10/2024,16:20:03,ST,1001.3,g
240,27/10/2024,16:35:03,ST,1000.3,g
241,27/10/2024,16:50:03,ST,999.3,g
242,27/10/2024,17:05:03,ST,999.3,g
243,27/10/2024,17:20:03,ST,998.3,g
244,27/10/2024,17:35:03,ST,998.3,g
245,27/10/2024,17:50:03,ST,997.3,g
246,27/10/2024,18:05:03,ST,996.3,g
247,27/10/2024,18:20:03,ST,996.3,g
248,27/10/2024,18:35:03,ST,995.3,g
249,27/10/2024,18:50:03,ST,994.3,g
250,27/10/2024,19:05:03,ST,993.3,g
251,27/10/2024,19:20:03,ST,993.3,g
252,27/10/2024,19:35:03,ST,992.3,g
253,27/10/2024,19:50:03,ST,991.3,g
254,27/10/2024,20:05:03,ST,990.2,g
255,27/10/2024,20:20:03,ST,990.2,g
256,27/10/2024,20:35:03,ST,989.2,g
257,27/10/2024,20:50:03,ST,988.2,g
258,27/10/2024,21:05:03,ST,988.2,g
259,27/10/2024,21:20:03,ST,987.2,g
260,27/10/2024,21:35:03,ST,987.2,g
261,27/10/2024,21:50:03,ST,986.2,g
262,27/10/2024,22:05:03,ST,986.2,g
263,27/10/2024,22:20:03,ST,985.2,g
264,27/10/2024,22:35:03,ST,984.2,g
265,27/10/2024,22:50:03,ST,984.2,g
266,27/10/2024,23:05:03,ST,984.2,g
267,27/10/2024,23:20:03,ST,984.2,g
268,27/10/2024,23:35:03,ST,984.2,g
269,27/10/2024,23:50:03,ST,984.2,g
270,28/10/2024,00:05:03,ST,984.2,g
271,28/10/2024,00:20:03,ST,984.2,g
272,28/10/2024,00:35:03,ST,984.2,g
273,28/10/2024,00:50:03,ST,984.2,g
274,28/10/2024,01:05:03,ST,984.2,g
275,28/10/2024,01:20:03,ST,984.2,g
276,28/10/2024,01:35:03,ST,984.2,g
277,28/10/2024,01:50:03,ST,984.2,g
278,28/10/2024,02:05:03,ST,984.2,g
279,28/10/2024,02:20:03,ST,984.2,g
280,28/10/2024,02:35:03,ST,984.2,g
281,28/10/2024,02:50:03,ST,983.2,g
282,28/10/2024,03:05:03,ST,983.2,g
283,28/10/2024,03:20:03,ST,983.2,g
284,28/10/2024,03:35:03,ST,983.2,g
285,28/10/2024,03:50:03,ST,983.2,g
286,28/10/2024,04:05:03,ST,983.2,g
287,28/10/2024,04:20:03,ST,983.2,g
288,28/10/2024,04:35:03,ST,983.2,g
289,28/10/2024,04:50:03,ST,983.2,g
290,28/10/2024,05:05:03,ST,983.2,g
291,28/10/2024,05:20:03,ST,983.2,g
292,28/10/2024,05:35:03,ST,982.2,g
293,28/10/2024,05:50:03,ST,982.2,g
294,28/10/2024,06:05:03,ST,982.2,g
295,28/10/2024,06:20:03,ST,982.2,g
296,28/10/2024,06:35:03,ST,982.2,g
297,28/10/2024,06:50:03,ST,982.2,g
298,28/10/2024,07:05:03,ST,981.2,g
299,28/10/2024,07:20:03,ST,980.1,g
300,28/10/2024,07:35:03,ST,979.1,g
301,28/10/2024,07:50:03,ST,979.1,g
302,28/10/2024,08:05:03,ST,978.1,g
303,28/10/2024,08:20:03,ST,977.1,g
304,28/10/2024,08:35:03,ST,977.1,g
305,28/10/2024,08:50:03,ST,976.1,g
306,28/10/2024,09:05:03,ST,975.1,g
307,28/10/2024,09:20:03,ST,975.1,g
308,28/10/2024,09:35:03,ST,974.1,g
309,28/10/2024,09:50:03,ST,973.1,g
310,28/10/2024,10:05:03,ST,973.1,g
311,28/10/2024,10:20:03,ST,972.1,g
312,28/10/2024,10:35:03,ST,970,g
313,28/10/2024,10:50:03,ST,969,g
314,28/10/2024,11:05:03,ST,967,g
315,28/10/2024,11:20:03,ST,966,g
316,28/10/2024,11:35:03,ST,966,g
317,28/10/2024,11:50:03,ST,965,g
318,28/10/2024,12:05:03,ST,964,g
319,28/10/2024,12:20:03,ST,963,g
320,28/10/2024,12:35:03,ST,962,g
321,28/10/2024,12:50:03,ST,961,g
322,28/10/2024,13:05:03,ST,959.9,g
323,28/10/2024,13:20:03,ST,958.9,g
324,28/10/2024,13:35:03,ST,957.9,g
325,28/10/2024,13:50:03,ST,956.9,g
326,28/10/2024,14:05:03,ST,955.9,g
327,28/10/2024,14:20:03,ST,955.9,g
328,28/10/2024,14:35:03,ST,954.9,g
329,28/10/2024,14:50:03,ST,953.9,g
330,28/10/2024,15:05:03,ST,952.9,g
331,28/10/2024,15:20:03,ST,951.9,g
332,28/10/2024,15:35:03,ST,951.9,g
333,28/10/2024,15:50:03,ST,950.9,g
334,28/10/2024,16:05:03,ST,949.7,g
335,28/10/2024,16:20:03,ST,949.7,g
336,28/10/2024,16:35:03,ST,948.7,g
337,28/10/2024,16:50:03,ST,947.7,g
338,28/10/2024,17:05:03,ST,946.7,g
339,28/10/2024,17:20:03,ST,945.7,g
340,28/10/2024,17:35:03,ST,945.7,g
341,28/10/2024,17:50:03,ST,944.6,g
342,28/10/2024,18:05:03,ST,943.6,g
343,28/10/2024,18:20:03,ST,942.6,g
344,28/10/2024,18:35:03,ST,942.6,g
345,28/10/2024,18:50:03,ST,941.6,g
346,28/10/2024,19:05:03,ST,940.6,g
347,28/10/2024,19:20:03,ST,940.6,g
348,28/10/2024,19:35:03,ST,939.6,g
349,28/10/2024,19:50:03,ST,938.6,g
350,28/10/2024,20:05:03,ST,937.6,g
351,28/10/2024,20:20:03,ST,937.6,g
352,28/10/2024,20:35:03,ST,936.6,g
353,28/10/2024,20:50:03,ST,935.6,g
354,28/10/2024,21:05:03,ST,935.6,g
355,28/10/2024,21:20:03,ST,934.5,g
356,28/10/2024,21:35:03,ST,933.5,g
357,28/10/2024,21:50:03,ST,933.5,g
358,28/10/2024,22:05:03,ST,932.5,g
359,28/10/2024,22:20:03,ST,932.5,g
360,28/10/2024,22:35:03,ST,931.5,g
361,28/10/2024,22:50:03,ST,931.5,g
362,28/10/2024,23:05:03,ST,931.5,g
363,28/10/2024,23:20:03,ST,931.5,g
364,28/10/2024,23:35:03,ST,932.5,g
365,28/10/2024,23:50:03,ST,932.5,g
366,29/10/2024,00:05:03,ST,932.5,g
367,29/10/2024,00:20:03,ST,932.5,g
368,29/10/2024,00:35:03,ST,932.5,g
369,29/10/2024,00:50:03,ST,932.5,g
370,29/10/2024,01:05:03,ST,932.5,g
371,29/10/2024,01:20:03,ST,932.5,g
372,29/10/2024,01:35:03,ST,932.5,g
373,29/10/2024,01:50:03,ST,932.5,g
374,29/10/2024,02:05:03,ST,932.5,g
375,29/10/2024,02:20:03,ST,931.5,g
376,29/10/2024,02:35:03,ST,931.5,g
377,29/10/2024,02:50:03,ST,931.5,g
378,29/10/2024,03:05:03,ST,931.5,g
379,29/10/2024,03:20:03,ST,931.5,g
380,29/10/2024,03:35:03,ST,931.5,g
381,29/10/2024,03:50:03,ST,931.5,g
382,29/10/2024,04:05:03,ST,931.5,g
383,29/10/2024,04:20:03,ST,931.5,g
384,29/10/2024,04:35:03,ST,931.5,g
385,29/10/2024,04:50:03,ST,931.5,g
386,29/10/2024,05:05:03,ST,931.5,g
387,29/10/2024,05:20:03,ST,930.5,g
388,29/10/2024,05:35:03,ST,930.5,g
389,29/10/2024,05:50:03,ST,930.5,g
390,29/10/2024,06:05:03,ST,930.5,g
391,29/10/2024,06:20:03,ST,930.5,g
392,29/10/2024,06:35:03,ST,930.5,g
393,29/10/2024,06:50:03,ST,930.5,g
394,29/10/2024,07:05:03,ST,929.5,g
395,29/10/2024,07:20:03,ST,927.5,g
396,29/10/2024,07:35:03,ST,927.5,g
397,29/10/2024,07:50:03,ST,926.5,g
398,29/10/2024,08:05:03,ST,925.5,g
399,29/10/2024,08:20:03,ST,925.5,g
400,29/10/2024,08:35:03,ST,924.4,g
401,29/10/2024,08:50:03,ST,923.4,g
402,29/10/2024,09:05:03,ST,922.4,g
403,29/10/2024,09:20:03,ST,921.4,g
404,29/10/2024,09:35:03,ST,921.4,g
405,29/10/2024,09:50:03,ST,920.4,g
406,29/10/2024,10:05:03,ST,919.4,g
407,29/10/2024,10:20:03,ST,919.4,g
408,29/10/2024,10:35:03,ST,918.4,g
409,29/10/2024,10:50:03,ST,917.4,g
410,29/10/2024,11:05:03,ST,916.4,g
411,29/10/2024,11:20:03,ST,915.4,g
412,29/10/2024,11:35:03,ST,914.3,g
413,29/10/2024,11:50:03,ST,913.3,g
414,29/10/2024,12:05:03,ST,912.3,g
415,29/10/2024,12:20:03,ST,911.3,g
416,29/10/2024,12:35:03,ST,910.3,g
417,29/10/2024,12:50:03,ST,909.3,g
418,29/10/2024,13:05:03,ST,909.3,g
419,29/10/2024,13:20:03,ST,908.3,g
420,29/10/2024,13:35:03,ST,907.3,g
421,29/10/2024,13:50:03,ST,906.3,g
422,29/10/2024,14:05:03,ST,906.3,g
423,29/10/2024,14:20:03,ST,905.3,g
424,29/10/2024,14:35:03,ST,904.2,g
425,29/10/2024,14:50:03,ST,904.2,g
426,29/10/2024,15:05:03,ST,903.2,g
427,29/10/2024,15:20:03,ST,902.2,g
428,29/10/2024,15:35:03,ST,901.2,g
429,29/10/2024,15:50:03,ST,901.2,g
430,29/10/2024,16:05:03,ST,900.2,g
431,29/10/2024,16:20:03,ST,900.2,g
432,29/10/2024,16:35:03,ST,899.2,g
433,29/10/2024,16:50:03,ST,898.2,g
434,29/10/2024,17:05:03,ST,898.2,g
435,29/10/2024,17:20:03,ST,897.2,g
436,29/10/2024,17:35:03,ST,896.1,g
437,29/10/2024,17:50:03,ST,896.1,g
438,29/10/2024,18:05:03,ST,1010,g
439,29/10/2024,18:20:03,ST,1010,g
440,29/10/2024,18:35:03,ST,1009,g
441,29/10/2024,18:50:03,ST,1009,g
442,29/10/2024,19:05:03,ST,1008,g
443,29/10/2024,19:20:03,ST,1007,g
444,29/10/2024,19:35:03,ST,1007,g
445,29/10/2024,19:50:03,ST,1006,g
446,29/10/2024,20:05:03,ST,1005,g
447,29/10/2024,20:20:03,ST,1003.9,g
448,29/10/2024,20:35:03,ST,1003.9,g
449,29/10/2024,20:50:03,ST,1002.9,g
450,29/10/2024,21:05:03,ST,1001.9,g
451,29/10/2024,21:20:03,ST,1001.9,g
452,29/10/2024,21:35:03,ST,1000.9,g
453,29/10/2024,21:50:03,ST,999.9,g
454,29/10/2024,22:05:03,ST,999.9,g
455,29/10/2024,22:20:03,ST,998.9,g
456,29/10/2024,22:35:03,ST,998.9,g
457,29/10/2024,22:50:03,ST,997.9,g
458,29/10/2024,23:05:03,ST,997.9,g
459,29/10/2024,23:20:03,ST,997.9,g
460,29/10/2024,23:35:03,ST,997.9,g
461,29/10/2024,23:50:03,ST,997.9,g
462,30/10/2024,00:05:03,ST,997.9,g
463,30/10/2024,00:20:03,ST,997.9,g
464,30/10/2024,00:35:03,ST,997.9,g
465,30/10/2024,00:50:03,ST,997.9,g
466,30/10/2024,01:05:03,ST,997.9,g
467,30/10/2024,01:20:03,ST,997.9,g
468,30/10/2024,01:35:03,ST,997.9,g
469,30/10/2024,01:50:03,ST,997.9,g
470,30/10/2024,02:05:03,ST,997.9,g
471,30/10/2024,02:20:03,ST,997.9,g
472,30/10/2024,02:35:03,ST,996.9,g
473,30/10/2024,02:50:03,ST,996.9,g
474,30/10/2024,03:05:03,ST,996.9,g
475,30/10/2024,03:20:03,ST,996.9,g
476,30/10/2024,03:35:03,ST,996.9,g
477,30/10/2024,03:50:03,ST,996.9,g
478,30/10/2024,04:05:03,ST,996.9,g
479,30/10/2024,04:20:03,ST,996.9,g
480,30/10/2024,04:35:03,ST,995.9,g
481,30/10/2024,04:50:03,ST,995.9,g
482,30/10/2024,05:05:03,ST,995.9,g
483,30/10/2024,05:20:03,ST,995.9,g
484,30/10/2024,05:35:03,ST,995.9,g
485,30/10/2024,05:50:03,ST,995.9,g
486,30/10/2024,06:05:03,ST,995.9,g
487,30/10/2024,06:20:03,ST,995.9,g
488,30/10/2024,06:35:03,ST,995.9,g
489,30/10/2024,06:50:03,ST,994.9,g
490,30/10/2024,07:05:03,ST,993.8,g
491,30/10/2024,07:20:03,ST,992.8,g
492,30/10/2024,07:35:03,ST,991.8,g
493,30/10/2024,07:50:03,ST,991.8,g
494,30/10/2024,08:05:03,ST,990.8,g
495,30/10/2024,08:20:03,ST,989.8,g
496,30/10/2024,08:35:03,ST,989.8,g
497,30/10/2024,08:50:03,ST,988.8,g
498,30/10/2024,09:05:03,ST,987.8,g
499,30/10/2024,09:20:03,ST,986.8,g
500,30/10/2024,09:35:03,ST,986.8,g
501,30/10/2024,09:50:03,ST,985.8,g
502,30/10/2024,10:05:03,ST,984.8,g
503,30/10/2024,10:20:03,ST,983.7,g
504,30/10/2024,10:35:03,ST,982.7,g
505,30/10/2024,10:50:03,ST,981.7,g
506,30/10/2024,11:05:03,ST,980.7,g
507,30/10/2024,11:20:03,ST,979.7,g
508,30/10/2024,11:35:03,ST,978.7,g
509,30/10/2024,11:50:03,ST,977.7,g
510,30/10/2024,12:05:03,ST,976.7,g
511,30/10/2024,12:20:03,ST,975.7,g
512,30/10/2024,12:35:03,ST,974.7,g
513,30/10/2024,12:50:03,ST,973.6,g
514,30/10/2024,13:05:03,ST,972.6,g
515,30/10/2024,13:20:03,ST,971.6,g
516,30/10/2024,13:35:03,ST,969.6,g
517,30/10/2024,13:50:03,ST,968.6,g
518,30/10/2024,14:05:03,ST,967.6,g
519,30/10/2024,14:20:03,ST,966.6,g
520,30/10/2024,14:35:03,ST,965.6,g
521,30/10/2024,14:50:03,ST,964.6,g
522,30/10/2024,15:05:03,ST,962.5,g
523,30/10/2024,15:20:03,ST,962.5,g
524,30/10/2024,15:35:03,ST,961.5,g
525,30/10/2024,15:50:03,ST,960.5,g
526,30/10/2024,16:05:03,ST,959.5,g
527,30/10/2024,16:20:03,ST,958.5,g
528,30/10/2024,16:35:03,ST,957.5,g
529,30/10/2024,16:50:03,ST,956.5,g
530,30/10/2024,17:05:03,ST,955.5,g
531,30/10/2024,17:20:03,ST,954.5,g
532,30/10/2024,17:35:03,ST,953.4,g
533,30/10/2024,17:50:03,ST,952.4,g
534,30/10/2024,18:05:03,ST,951.4,g
535,30/10/2024,18:20:03,ST,951.4,g
536,30/10/2024,18:35:03,ST,950.4,g
537,30/10/2024,18:50:03,ST,949.4,g
538,30/10/2024,19:05:03,ST,948.4,g
539,30/10/2024,19:20:03,ST,947.4,g
540,30/10/2024,19:35:03,ST,946.4,g
541,30/10/2024,19:50:03,ST,945.4,g
542,30/10/2024,20:05:03,ST,944.3,g
543,30/10/2024,20:20:03,ST,943.3,g
544,30/10/2024,20:35:03,ST,942.3,g
545,30/10/2024,20:50:03,ST,941.3,g
546,30/10/2024,21:05:03,ST,941.3,g
547,30/10/2024,21:20:03,ST,940.3,g
548,30/10/2024,21:35:03,ST,939.3,g
549,30/10/2024,21:50:03,ST,938.3,g
550,30/10/2024,22:05:03,ST,938.3,g
551,30/10/2024,22:20:03,ST,937.3,g
552,30/10/2024,22:35:03,ST,936.3,g
553,30/10/2024,22:50:03,ST,936.3,g
554,30/10/2024,23:05:03,ST,936.3,g
555,30/10/2024,23:20:03,ST,936.3,g
556,30/10/2024,23:35:03,ST,936.3,g
557,30/10/2024,23:50:03,ST,936.3,g
558,31/10/2024,00:05:03,ST,937.4,g
559,31/10/2024,00:20:03,ST,937.4,g
560,31/10/2024,00:35:03,ST,937.4,g
561,31/10/2024,00:50:03,ST,937.4,g
562,31/10/2024,01:05:03,ST,937.4,g
563,31/10/2024,01:20:03,ST,936.4,g
564,31/10/2024,01:35:03,ST,936.4,g
565,31/10/2024,01:50:03,ST,936.4,g
566,31/10/2024,02:05:03,ST,936.4,g
567,31/10/2024,02:20:03,ST,935.4,g
568,31/10/2024,02:35:03,ST,935.4,g
569,31/10/2024,02:50:03,ST,935.4,g
570,31/10/2024,03:05:03,ST,935.4,g
571,31/10/2024,03:20:03,ST,935.4,g
572,31/10/2024,03:35:03,ST,935.4,g
573,31/10/2024,03:50:03,ST,935.4,g
574,31/10/2024,04:05:03,ST,935.4,g
575,31/10/2024,04:20:03,ST,934.4,g
576,31/10/2024,04:35:03,ST,934.4,g
577,31/10/2024,04:50:03,ST,934.4,g
578,31/10/2024,05:05:03,ST,934.4,g
579,31/10/2024,05:20:03,ST,934.4,g
580,31/10/2024,05:35:03,ST,934.4,g
581,31/10/2024,05:50:03,ST,934.4,g
582,31/10/2024,06:05:03,ST,934.4,g
583,31/10/2024,06:20:03,ST,934.4,g
