"Plant_ID","DateTime","Measure","Value","PSY","Teros","Treatment","Scale","Plant_name"
3,2024-10-27 00:30:00,"LWP",-0.75,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 00:45:00,"LWP",-0.69,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 01:00:00,"LWP",-0.69,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 01:15:00,"LWP",-0.64,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 01:30:00,"LWP",-0.59,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 01:45:00,"LWP",-0.59,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 02:00:00,"LWP",-0.54,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 02:15:00,"LWP",-0.53,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 02:30:00,"LWP",-0.47,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 02:45:00,"LWP",-0.48,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 03:00:00,"LWP",-0.49,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 03:15:00,"LWP",-0.46,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 03:30:00,"LWP",-0.45,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 03:45:00,"LWP",-0.42,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 04:00:00,"LWP",-0.42,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 04:15:00,"LWP",-0.41,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 04:30:00,"LWP",-0.37,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 04:45:00,"LWP",-0.39,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 05:00:00,"LWP",-0.37,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 05:15:00,"LWP",-0.34,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 05:30:00,"LWP",-0.36,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 05:45:00,"LWP",-0.34,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 06:00:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
